OPIS Truckstop ID,latitude,longitude,Retail Price
769,40.3598,-91.4595,3.01566666
815,43.0117,-89.8969,3.489
855,42.3172,-87.8595,3.389
863,32.7466,-81.6409,3.499
906,35.153,-90.1996,3.395
908,33.3114,-86.7573,3.46566666
912,5.534205,-0.4318518,3.12566666
936,35.0753,-92.4692,3.03233333
970,33.5722,-112.0892,3.39233333
977,33.6675,-114.2171,3.959
981,43.194,-112.3454,3.53233333
982,32.5995,-114.5491,3.56566666
1028,39.6681,-75.5697,3.424
1042,30.1901,-82.6471,3.56233333
1043,30.1901,-82.6471,3.2515
1047,30.7943,-85.2259,3.60733333
1075,32.536,-82.928,3.415666665
1106,33.4679,-82.4968,3.399
1112,42.0162,-95.3528,3.399
1115,42.5739,-92.7785,3.58233333
1121,42.6053,-114.209,3.799
1128,42.4448,-87.9202,3.8115
1132,38.1499,-88.904,3.249
1136,40.1101,-87.7769,3.499
1140,39.5707,-89.6547,3.499
1149,39.7937,-85.7738,3.959
1151,39.7959,-85.5312,3.759
1154,30.0811,-97.518,3.199
1156,39.5352,-85.7793,3.599
1157,39.466,-87.3751,3.43566666
1158,41.4783,-87.0506,3.864
1163,38.4028,-96.1932,2.839
1176,38.2247,-84.5487,3.20566666
1179,37.8357,-85.7243,3.609
1196,30.7807244,-91.3763353,3.384
1199,42.5209,-71.7717,3.68233333
1202,39.5737,-76.0668,3.599
1204,39.1205,-88.5509,3.434
1208,42.2749,-85.5882,3.2990000000000004
1210,42.2148,-85.8919,3.579
1217,43.6721,-92.9784,3.374
1218,46.3295,-94.4796,3.299
1225,39.3447,-91.2032,3.01566666
1234,37.4945,-94.2791,3.199
1236,39.7978,-91.5265,3.01566666
1240,38.7059,-93.234,3.199
1247,36.7377,-91.868,3.299
1251,34.9474,-88.5143,3.154
1256,33.385,-91.0514,3.25566666
1265,34.8347,-89.5634,2.97233333
1304,36.0852,-79.2736,3.94733333
1315,35.4875,-79.177,3.08233333
1325,34.2099,-77.8866,3.629
1326,35.7311,-77.9284,3.199
1333,40.9218,-98.3586,3.30733333
1340,40.1462685,-74.7114508,3.499
1342,40.2050878,-74.2135004,3.20233333
1344,41.0887072,-74.1437552,3.53233333
1348,40.0025,-75.036,3.359
1356,35.1949,-107.8946,3.59066666
1364,41.6743,-86.6207,3.98233333
1372,40.8078,-81.3676,3.62233333
1376,40.741,-84.112,3.08566666
1379,41.0207,-81.8671,3.739
1384,41.5817,-84.5968,3.41566666
1391,36.5316,-97.4352,3.21566666
1395,35.5069,-98.9706,3.099
1404,40.1408,-87.3917,3.26233333
1414,39.9990119,-79.1128169,4.099
1424,39.8304,-77.2339,3.899
1428,40.3991,-86.8593,3.43233333
1432,40.2115,-77.006,4.049
1444,34.2113,-80.6973,3.43233333
1445,41.135,-104.7902,3.709
1447,35.1461,-81.863,3.199
1453,34.0103,-85.044,3.319
1455,34.178,-79.7898,3.32566666
1461,35.0463,-82.0897,3.099
1464,33.989,-81.2202,3.199
1470,33.4288,-81.8905,3.159
1479,34.9342,-82.1443,3.43233333
1487,36.168,-82.8197,3.499
1492,35.066,-85.2481,2.899
1507,35.1087,-89.9663,3.189
1516,35.1984,-101.8316,3.23233333
1531,39.5352,-85.7793,3.509
1533,33.1757,-102.273,2.99233333
1546,28.6675,-99.1765,3.099
1548,35.8613,-101.9642,3.03233333
1552,27.8823,-98.6178,3.099
1555,39.298,-102.8695,3.499
1560,42.5675589,-79.1128169,2.949
1562,35.7766,-88.3561,3.099
1567,41.5725,-93.6105,3.02733333
1579,45.902,-112.6571,3.56566666
1582,35.1984,-101.8316,3.314
